"cd_municipio","contagem"
"BARUERI","{0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,11,16,21,10,21,20,13,17,25,0,0,0,0,0}"
"BRASILIA","{0,0,0,0,0,0,0,0,0,0,0,0,0,14,84,58,134,154,233,217,138,89,121,128,0,0,0,0,0,0}"
"CAMPOS DO JORDAO","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,3,3,0,0,0,0,0,0,0,0,0}"
"CARAPICUIBA","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,14,7,6,9,5,5,0,0,0,0,0}"
"COTIA","{0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,7,17,16,18,4,12,17,14,23,0,0,0,0,0}"
"DIADEMA","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,11,12,20,24,20,25,25,23,25,0,0,0,0,0}"
"GUARULHOS","{1,0,0,0,0,0,1,0,0,0,1,0,1,16,257,254,340,491,640,630,522,490,528,537,397,0,0,0,0,0}"
"MANAUS","{0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,4,8,6,3,1,1,3,0,0,0,0,0}"
"MMMM","{2,2,2,1,0,0,1,3,4,1,2,5,10,329,4907,3517,4662,6899,8481,8083,8209,8343,9336,8481,4809,0,0,0,0,0}"
"MOGI DAS CRUZES","{0,0,0,1,0,0,0,0,0,0,0,0,0,2,23,17,22,39,41,26,52,35,71,71,40,0,0,0,0,0}"
"OSASCO","{0,0,0,0,0,0,0,0,0,1,0,0,1,2,105,60,104,189,280,294,245,205,249,242,230,0,0,0,0,0}"
"SANTANA DE PARNAIBA","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,0,0,9,3,2,0,0,0,0,0}"
"SANTO ANDRE","{0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,23,30,28,36,22,33,36,30,42,20,0,0,0,0,0}"
"SANTOS","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,22,23,7,14,19,22,25,19,31,0,0,0,0,0}"
"SAO BERNARDO DO CAMPO","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,37,38,58,53,67,71,67,56,63,0,0,0,0,0}"
"SAO PAULO","{3,2,5,6,8,13,9,12,9,10,9,9,39,339,10966,6366,9297,14009,18061,18678,19455,19696,20807,19026,15666,0,0,0,0,0}"
"SUZANO","{0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,12,2,14,28,6,16,9,8,13,16,0,0,0,0,0}"
